year,global_avg_temp,local_avg_temp
1849,7.98,14.12
1850,7.9,13.8
1851,8.18,14.39
1852,8.1,13.81
1853,8.04,14.4
1854,8.21,13.98
1855,8.11,14.2
1856,8,14.1
1857,7.76,14.78
1858,8.1,14.19
1859,8.25,13.71
1860,7.96,13.81
1861,7.85,14.88
1862,7.56,14.43
1863,8.11,14.43
1864,7.98,15.18
1865,8.18,14.32
1866,8.29,14.67
1867,8.44,14.46
1868,8.25,14.25
1869,8.43,14.57
1870,8.2,14.19
1871,8.12,14.34
1872,8.19,14.63
1873,8.35,14.46
1874,8.43,14.09
1875,7.86,14.76
1876,8.08,14.44
1877,8.54,15.03
1878,8.83,14.37
1879,8.17,14.2
1880,8.12,13.22
1881,8.27,14.39
1882,8.13,13.58
1883,7.98,13.93
1884,7.77,14.05
1885,7.92,15.05
1886,7.95,14.58
1887,7.91,14.38
1888,8.09,14.7
1889,8.32,14.81
1890,7.97,14.05
1891,8.02,14.46
1892,8.07,14.05
1893,8.06,13.4
1894,8.16,13.8
1895,8.15,13.95
1896,8.21,14.22
1897,8.29,13.81
1898,8.18,13.77
1899,8.4,14.04
1900,8.5,14.64
1901,8.54,14.34
1902,8.3,14.07
1903,8.22,14.12
1904,8.09,14.5
1905,8.23,14.39
1906,8.38,14.81
1907,7.95,14.34
1908,8.19,14.01
1909,8.18,14.05
1910,8.22,14.17
1911,8.18,13.46
1912,8.17,13.95
1913,8.3,14.38
1914,8.59,14.33
1915,8.59,14.3
1916,8.23,13.61
1917,8.02,14.06
1918,8.13,14.14
1919,8.38,13.6
1920,8.36,13.72
1921,8.57,14.24
1922,8.41,13.61
1923,8.42,14.13
1924,8.51,14.1
1925,8.53,14.34
1926,8.73,15.14
1927,8.52,14.24
1928,8.63,14.32
1929,8.24,14.25
1930,8.63,14.25
1931,8.72,14.93
1932,8.71,14.24
1933,8.34,13.93
1934,8.63,15.31
1935,8.52,14.12
1936,8.55,15.13
1937,8.7,14.36
1938,8.86,14.35
1939,8.76,14.81
1940,8.76,15.12
1941,8.77,14.98
1942,8.73,14.2
1943,8.76,14.72
1944,8.85,14.17
1945,8.58,14.41
1946,8.68,13.83
1947,8.8,14.51
1948,8.75,13.65
1949,8.59,13.9
1950,8.37,14.66
1951,8.63,14.06
1952,8.64,14.11
1953,8.87,14.42
1954,8.56,14.18
1955,8.63,13.74
1956,8.28,14.08
1957,8.73,14.59
1958,8.77,15.41
1959,8.73,15.39
1960,8.58,14.59
1961,8.8,14.65
1962,8.75,14.22
1963,8.86,14.19
1964,8.41,14.24
1965,8.53,14.14
1966,8.6,14.74
1967,8.7,14.5
1968,8.52,14.66
1969,8.6,14.51
1970,8.7,14.76
1971,8.6,13.89
1972,8.5,14.25
1973,8.95,14.58
1974,8.47,14.41
1975,8.74,13.82
1976,8.35,14.72
1977,8.85,14.63
1978,8.69,14.96
1979,8.73,14.99
1980,8.98,14.74
1981,9.17,15.22
1982,8.64,14
1983,9.03,15.07
1984,8.69,14.97
1985,8.66,14.23
1986,8.83,15
1987,8.99,14.95
1988,9.2,15.08
1989,8.92,14.45
1990,9.23,14.73
1991,9.18,14.5
1992,8.84,15.53
1993,8.87,14.97
1994,9.04,14.21
1995,9.35,15.31
1996,9.04,15.56
1997,9.2,15.75
1998,9.52,14.38
1999,9.29,14.41
2000,9.2,15.02
2001,9.41,15.25
2002,9.57,15
2003,9.53,15.43
2004,9.32,15.37
2005,9.7,15.17
2006,9.53,15.02
2007,9.73,14.94
2008,9.43,15.05
2009,9.51,15.02
2010,9.7,14.67
2011,9.52,14.5
2012,9.51,15.05
2013,9.61,16.23